934653 934676 1370115457000 1314 0 2
1051090 1051096 1370231894000 117 0 3
1361243 1361249 1370542047000 10 1 3
1367385 1367395 1370548189000 84 1 3
1518669 1518675 1370699473000 87 1 3
1528922 1528928 1370709726000 88 1 3
1646024 1646030 1370826828000 118 0 3
1675093 1675105 1370855897000 118 0 3
1708364 1708376 1370889167000 1 1 0
1831627 1831633 1371012431000 119 0 3
1846496 1846501 1371027300000 84 1 3
2165509 2165515 1371346313000 119 0 3
2308191 2308197 1371488995000 117 0 3
2536237 2536249 1371717041000 119 0 3
2631433 2631439 1371812237000 119 0 3
2679162 2679168 1371859966000 119 0 3
2708182 2708195 1371888985000 1 1 0
2920249 2920249 1372101053000 1 1 1
2959109 2959115 1372139913000 115 0 3
3334924 3334929 1372515728000 88 1 3
3339098 3339103 1372519902000 86 1 3
3532099 3532116 1372712902000 1 1 0
3613381 3613387 1372794185000 120 0 3
3700909 3700915 1372881712000 1 1 0
3855454 3855459 1373036258000 87 1 3
4022802 4022808 1373203606000 89 1 3
4125546 4125551 1373306350000 103 1 3
4128471 4128477 1373309275000 89 1 3
4189342 4189348 1373370146000 85 1 3
4330503 4330509 1373511307000 128 0 3
4433872 4433895 1373614676000 1322 0 2
4574335 4574341 1373755139000 120 0 3
4623082 4623088 1373803886000 88 1 3
4624127 4624138 1373804931000 87 1 3
4631927 4631933 1373812731000 86 1 3
4634611 4634617 1373815415000 85 1 3
4636016 4636022 1373816820000 122 0 3
4669278 4669284 1373850082000 86 1 3
4738202 4738208 1373919006000 88 1 3
4747570 4747576 1373928374000 87 1 3
4812075 4812081 1373992879000 88 1 3
4821890 4821902 1374002693000 1 1 0
4838106 4838115 1374018910000 135 0 3
4871086 4871096 1374051890000 87 1 3
4877972 4877978 1374058776000 87 1 3
4958972 4958977 1374139776000 89 1 3
4992388 4992394 1374173192000 89 1 3
5021537 5021543 1374202341000 90 1 3
5041434 5041440 1374222238000 88 1 3
5075520 5075526 1374256324000 85 1 3
5079316 5079322 1374260120000 90 1 3
5084449 5084455 1374265253000 87 1 3
5146177 5146188 1374326981000 88 1 3
5163380 5163386 1374344184000 85 1 3
5174135 5174141 1374354939000 88 1 3
5217117 5217127 1374397921000 85 1 3
5219008 5219025 1374399812000 1281 0 2
5242529 5242535 1374423333000 121 0 3
5263697 5263703 1374444501000 86 1 3
5318860 5318870 1374499664000 86 1 3
5334155 5334161 1374514959000 87 1 3
5358578 5358583 1374539382000 90 1 3
5389984 5389990 1374570788000 121 0 3
5395296 5395302 1374576100000 89 1 3
5439964 5439976 1374620768000 86 1 3
5460295 5460301 1374641099000 89 1 3
5489642 5489648 1374670446000 86 1 3
5534775 5534781 1374715579000 110 0 3
5540344 5540355 1374721148000 82 1 3
5551839 5551850 1374732643000 78 1 3
5558361 5558367 1374739165000 79 1 3
5559073 5559078 1374739877000 80 1 3
5584158 5584169 1374764962000 79 1 3
5613024 5613030 1374793828000 109 0 3
5624807 5624813 1374805611000 81 1 3
5627045 5627051 1374807849000 79 1 3
5646074 5646079 1374826878000 79 1 3
5654082 5654088 1374834886000 108 0 3
5665072 5665078 1374845876000 83 1 3
5676278 5676290 1374857082000 78 1 3
5681009 5681015 1374861813000 83 1 3
5702140 5702145 1374882944000 78 1 3
5708240 5708246 1374889044000 79 1 3
5752186 5752192 1374932990000 85 1 3
5754400 5754410 1374935204000 85 1 3
5758674 5758680 1374939478000 85 1 3
5794269 5794275 1374975073000 79 1 3
5804289 5804295 1374985093000 81 1 3
5814039 5814044 1374994843000 79 1 3
5841753 5841759 1375022557000 111 0 3
5854475 5854481 1375035279000 110 0 3
5934304 5934309 1375115108000 82 1 3
5962351 5962357 1375143155000 83 1 3
6019606 6019612 1375200410000 85 1 3
6071444 6071450 1375252248000 116 0 3
6175816 6175821 1375356620000 87 1 3
6186192 6186198 1375366996000 84 1 3
6187006 6187012 1375367810000 118 0 3
6190170 6190181 1375370974000 114 0 3
6222870 6222876 1375403674000 81 1 3
6234006 6234012 1375414810000 117 0 3
6234043 6234049 1375414847000 82 1 3
6238060 6238066 1375418864000 84 1 3
6254252 6254258 1375435056000 82 1 3
6258036 6258041 1375438840000 84 1 3
6259346 6259352 1375440150000 81 1 3
6263645 6263656 1375444449000 86 1 3
6268923 6268929 1375449727000 83 1 3
6299078 6299084 1375479882000 117 0 3
6307127 6307132 1375487931000 83 1 3
6316316 6316322 1375497120000 82 1 3
6324240 6324246 1375505044000 83 1 3
6345814 6345820 1375526618000 116 0 3
6345948 6345953 1375526752000 82 1 3
6353978 6353984 1375534782000 87 1 3
6360522 6360528 1375541326000 113 0 3
6377542 6377548 1375558346000 82 1 3
6383710 6383721 1375564514000 82 1 3
6412925 6412931 1375593729000 115 0 3
6439540 6439545 1375620344000 86 1 3
6451088 6451093 1375631892000 87 1 3
6503962 6591260 1375684765000 2928 0 0
9568740 9725296 1378749544000 94 0 3
10133780 10133786 1379314584000 121 0 3
10157471 10157482 1379338275000 119 0 3
10176484 10176490 1379357288000 85 0 3
10230083 10230088 1379410887000 117 0 3
10268259 10268271 1379449062000 3063 0 0
10305961 10305967 1379486765000 123 0 3
10522718 10522724 1379703521000 3000 0 0
10690716 10690722 1379871520000 11 1 3
10760058 10760070 1379940862000 162 0 3
