kettle ON 2931.44416667 5902.08939453 1497.92344444 3126.2579198 10.952970297 0 2500
kettle OFF -2954.8735 5909.76176324 -1158.17495826 2542.78000436 11.1749174917 0 1700
dish_washer ON 2006.59541667 4065.8532863 1012.44682692 2166.15511769 7.095 0 850
dish_washer OFF -103.860083333 207.745592305 -56.8724142857 121.429412153 13.03 0 85
microwave ON 1321.10561905 2639.9107095 582.483605963 1267.60366287 15.139941691 0 450
microwave OFF -1310.1225 2598.55049947 -540.852529669 1183.34248357 13.0397553517 0 900
fridge ON 86.8875833333 174.730723763 48.365 104.055324771 7.105 180 1600
fridge OFF -74.9349166667 145.665186548 -36.288387218 76.5235239054 6.97 0 40
washing_machine ON 1038.53128748 2236.69575257 1137.98085128 2158.8164546 6.97 0 2000
washing_machine OFF -299.76275 599.67000616 -152.82369022 326.922641373 7.065 0 360
